case,scenario,config,seed,appreciation,seconds,evaluations,temperature,settings
Beerwiser,Base case,baseline,1,65.71158961508966,0.31569600000511855,3109,1.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,baseline,2,65.71158958595589,0.29989979999663774,2904,1.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,baseline,3,65.71158885824802,0.29220879999775207,2818,1.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,baseline,4,65.71158949927394,0.3015058000019053,3005,1.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,baseline,5,65.71158983311778,0.3668021999983466,3666,1.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,restarts 5x20,1,65.71158772300848,0.24514809999527643,2362,1.0,"{'n_starts': 5, 'n_hops': 20, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,restarts 5x20,2,65.7116087245058,0.2928821000023163,2826,1.0,"{'n_starts': 5, 'n_hops': 20, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,restarts 5x20,3,65.71158979541076,0.2996237999977893,2935,1.0,"{'n_starts': 5, 'n_hops': 20, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,restarts 5x20,4,65.71158967867078,0.34079449999990175,3347,1.0,"{'n_starts': 5, 'n_hops': 20, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,restarts 5x20,5,65.71158983311778,0.35395680000510765,3507,1.0,"{'n_starts': 5, 'n_hops': 20, 'temperature': 1.0, 'step_frac': 0.3}"
Beerwiser,Base case,T=0.1,1,65.71158961508966,0.3062539000020479,2979,0.1,"{'n_starts': 1, 'n_hops': 100, 'temperature': 0.1, 'step_frac': 0.3}"
Beerwiser,Base case,T=0.1,2,65.71158958595589,0.2986749999981839,2805,0.1,"{'n_starts': 1, 'n_hops': 100, 'temperature': 0.1, 'step_frac': 0.3}"
Beerwiser,Base case,T=0.1,3,65.71158885824802,0.2940223999976297,2818,0.1,"{'n_starts': 1, 'n_hops': 100, 'temperature': 0.1, 'step_frac': 0.3}"
Beerwiser,Base case,T=0.1,4,65.71158949927394,0.3196669000026304,3113,0.1,"{'n_starts': 1, 'n_hops': 100, 'temperature': 0.1, 'step_frac': 0.3}"
Beerwiser,Base case,T=0.1,5,65.71158983311778,0.3618551999970805,3674,0.1,"{'n_starts': 1, 'n_hops': 100, 'temperature': 0.1, 'step_frac': 0.3}"
Beerwiser,Base case,T=5,1,65.71158961508966,0.3156830000007176,3109,5.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 5.0, 'step_frac': 0.3}"
Beerwiser,Base case,T=5,2,65.71158958595589,0.29492469999968307,2904,5.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 5.0, 'step_frac': 0.3}"
Beerwiser,Base case,T=5,3,65.71158885824802,0.29112609999720007,2818,5.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 5.0, 'step_frac': 0.3}"
Beerwiser,Base case,T=5,4,65.71158949927394,0.3008082999949693,2945,5.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 5.0, 'step_frac': 0.3}"
Beerwiser,Base case,T=5,5,65.71158983311778,0.3643006999991485,3666,5.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 5.0, 'step_frac': 0.3}"
Beerwiser,Base case,T=auto,1,65.71158961508966,0.31557690000045113,3141,3.0884693797061233,"{'n_starts': 1, 'n_hops': 100, 'temperature': 3.0884693797061233, 'step_frac': 0.3}"
Beerwiser,Base case,T=auto,2,65.71158958595589,0.30247399999643676,2936,1.2072662255685342,"{'n_starts': 1, 'n_hops': 100, 'temperature': 1.2072662255685342, 'step_frac': 0.3}"
Beerwiser,Base case,T=auto,3,65.71158885824802,0.2957557999980054,2850,3.171538725771231,"{'n_starts': 1, 'n_hops': 100, 'temperature': 3.171538725771231, 'step_frac': 0.3}"
Beerwiser,Base case,T=auto,4,65.71158949927394,0.30906559999857564,3037,3.1171352494741766,"{'n_starts': 1, 'n_hops': 100, 'temperature': 3.1171352494741766, 'step_frac': 0.3}"
Beerwiser,Base case,T=auto,5,65.71158983311778,0.3702757000064594,3698,3.1452023453779874,"{'n_starts': 1, 'n_hops': 100, 'temperature': 3.1452023453779874, 'step_frac': 0.3}"
Beerwiser,Base case,wide kick,1,65.7115874670506,0.27425989999755984,2600,1.0,"{'n_starts': 1, 'n_hops': 100, 'temperature': 1.0, 'step_frac': 1.0}"
