case,scenario,seed,appreciation,basin
Beerwiser,Base case,0,65.70141960142203,1.0
Beerwiser,Base case,1,65.70141939037646,1.0
Beerwiser,Base case,2,65.70141943597497,1.0
Beerwiser,Base case,3,65.70141990663609,1.0
Beerwiser,Base case,4,65.70141937015676,1.0
Beerwiser,Base case,5,65.70141964151205,1.0
Beerwiser,Base case,6,65.7014195155638,1.0
Beerwiser,Base case,7,65.70141960779173,1.0
Beerwiser,Base case,8,65.70141939626123,1.0
Beerwiser,Base case,9,65.70141925912715,1.0
Beerwiser,Base case,10,65.70141965818885,1.0
Beerwiser,Base case,11,65.70141950377467,1.0
Refugee,Base case,0,84.5007110682206,1.0
Refugee,Base case,1,84.50071934565563,1.0
Refugee,Base case,2,84.50071179904228,1.0
Refugee,Base case,3,96.87070897415984,2.0
Refugee,Base case,4,84.50071098396211,1.0
Refugee,Base case,5,84.5007070039398,1.0
Refugee,Base case,6,84.50069481859708,1.0
Refugee,Base case,7,84.50071099755986,1.0
Refugee,Base case,8,84.5007141097953,1.0
Refugee,Base case,9,84.50071522916,1.0
Refugee,Base case,10,84.50071360071189,1.0
Refugee,Base case,11,84.50071880650596,1.0
IZZ,Base case,0,69.19024913175015,4.0
IZZ,Base case,1,69.1901510930751,4.0
IZZ,Base case,2,69.19021158807114,4.0
IZZ,Base case,3,69.19014920781896,4.0
IZZ,Base case,4,69.1905312850606,5.0
IZZ,Base case,5,69.18642628420717,1.0
IZZ,Base case,6,69.19023306768572,4.0
IZZ,Base case,7,69.19021290226839,4.0
IZZ,Base case,8,69.18906311939806,3.0
IZZ,Base case,9,69.19022821828615,4.0
IZZ,Base case,10,69.18830114177712,2.0
IZZ,Base case,11,69.19023669095483,4.0
