case,designed_for,realised,appreciation,scenario_best,regret,max_regret_of_allocation
Beerwiser,Base case,Base case,65.7115899862911,65.7115899862911,0.0,21.79589699709412
Beerwiser,Base case,Optimistic,65.95490739279879,65.95490739279879,0.0,21.79589699709412
Beerwiser,Base case,Pessimistic,61.53743633623921,83.33333333333333,21.79589699709412,21.79589699709412
Beerwiser,Optimistic,Base case,65.7115899862911,65.7115899862911,0.0,21.79589699709412
Beerwiser,Optimistic,Optimistic,65.95490739279879,65.95490739279879,0.0,21.79589699709412
Beerwiser,Optimistic,Pessimistic,61.53743633623921,83.33333333333333,21.79589699709412,21.79589699709412
Beerwiser,Pessimistic,Base case,62.02136093865195,65.7115899862911,3.69022904763915,32.21506999442481
Beerwiser,Pessimistic,Optimistic,33.73983739837398,65.95490739279879,32.21506999442481,32.21506999442481
Beerwiser,Pessimistic,Pessimistic,83.33333333333333,83.33333333333333,0.0,32.21506999442481
Refugee,Base case,Base case,96.86885868619798,96.86885868619798,0.0,7.08205722077399
Refugee,Base case,Labour optimistic,99.91365532989116,99.9272730328858,0.0136177029946367,7.08205722077399
Refugee,Base case,Labour pessimistic,69.91100324457851,76.9930604653525,7.08205722077399,7.08205722077399
Refugee,Labour optimistic,Base case,96.82671181135883,96.86885868619798,0.0421468748391333,7.758246065081863
Refugee,Labour optimistic,Labour optimistic,99.92727303288324,99.9272730328858,2.557953848736361e-12,7.758246065081863
Refugee,Labour optimistic,Labour pessimistic,69.23481440027064,76.9930604653525,7.758246065081863,7.758246065081863
Refugee,Labour pessimistic,Base case,84.50058877192382,96.86885868619798,12.368269914274164,12.368269914274164
Refugee,Labour pessimistic,Labour optimistic,88.60594140220653,99.9272730328858,11.321331630679282,12.368269914274164
Refugee,Labour pessimistic,Labour pessimistic,76.9923373805752,76.9930604653525,0.0007230847773058,12.368269914274164
IZZ,Base case,Base case,69.19053246951037,69.19053246952963,1.9255708139098715e-11,2.6914272038152234
IZZ,Base case,Optimistic,66.49929444961055,69.19072165342577,2.6914272038152234,2.6914272038152234
IZZ,Base case,Pessimistic,59.21135926203173,61.62763403081765,2.416274768785925,2.6914272038152234
IZZ,Optimistic,Base case,68.76547150809391,69.19053246952963,0.4250609614357188,2.725091627801333
IZZ,Optimistic,Optimistic,69.19072047917757,69.19072165342577,1.174248197344241e-06,2.725091627801333
IZZ,Optimistic,Pessimistic,58.90254240301632,61.62763403081765,2.725091627801333,2.725091627801333
IZZ,Pessimistic,Base case,65.96712847918813,69.19053246952963,3.223403990341496,5.928226730678865
IZZ,Pessimistic,Optimistic,63.2624949227469,69.19072165342577,5.928226730678865,5.928226730678865
IZZ,Pessimistic,Pessimistic,61.62763055468927,61.62763403081765,3.4761283842499324e-06,5.928226730678865
