case,scenario,limit_s,method,appreciation,seconds,evaluations,budget_spent,reported_dmo,settings
Beerwiser,Base case,15,grid,65.7115899862911,1.1773179000010714,3001,300000.0,Timed (Base case),{'max_calculation_time': 15}
Beerwiser,Base case,15,grid_capped,65.70490546625933,13.869246300018858,125751,300000.0,Timed (Base case),{'max_calculation_time': 15}
Beerwiser,Base case,15,slsqp,65.7115899745153,22.616802900040057,104629,299999.9999994013,Timed (Base case),{'n_starts': 5127}
Beerwiser,Base case,15,basin_hopping,65.71158991096567,12.709448400011752,54610,299999.99999999994,Timed (Base case),"{'n_hops': 3037, 'n_starts': 1}"
Beerwiser,Base case,15,genetic_algorithm,65.7014195960705,17.809314600017387,123150,300000.0,Timed (Base case),"{'population_size': 50, 'n_generations': 2462}"
Beerwiser,Base case,15,mdbh,65.71157321358413,12.209504700032994,102490,299999.99999976193,Timed (Base case),"{'n_starts': 77, 'n_hops': 10, 'n_local_steps': 50}"
Beerwiser,Base case,30,grid,65.7115899862911,1.0817109000054188,3001,300000.0,Timed (Base case),{'max_calculation_time': 30}
Beerwiser,Base case,30,grid_capped,65.7115899862911,20.50256370002171,180901,300000.0,Timed (Base case),{'max_calculation_time': 30}
Beerwiser,Base case,30,slsqp,65.7115899745153,38.06645159999607,169167,299999.9999994013,Timed (Base case),{'n_starts': 8249}
Beerwiser,Base case,30,basin_hopping,65.71158991096567,26.45347429998219,102871,299999.99999999994,Timed (Base case),"{'n_hops': 6820, 'n_starts': 1}"
Beerwiser,Base case,30,genetic_algorithm,65.70141959607051,36.949502900009975,249950,300000.00000000006,Timed (Base case),"{'population_size': 50, 'n_generations': 4998}"
Beerwiser,Base case,30,mdbh,65.71158819099136,27.316966900019906,251772,299999.99999977153,Timed (Base case),"{'n_starts': 191, 'n_hops': 10, 'n_local_steps': 50}"
Beerwiser,Base case,60,grid,65.7115899862911,1.1139530999935232,3001,300000.0,Timed (Base case),{'max_calculation_time': 60}
Beerwiser,Base case,60,grid_capped,65.70490546625933,50.7450322000077,501501,300000.0,Timed (Base case),{'max_calculation_time': 60}
Beerwiser,Base case,60,slsqp,65.71158998181767,88.29449890000978,449357,299999.99999999994,Timed (Base case),{'n_starts': 21809}
Beerwiser,Base case,60,basin_hopping,65.71158991096567,50.809665599954315,218906,299999.99999999994,Timed (Base case),"{'n_hops': 15881, 'n_starts': 1}"
Beerwiser,Base case,60,genetic_algorithm,65.70141959607068,60.10173629998462,417200,300000.0,Timed (Base case),"{'population_size': 50, 'n_generations': 8343}"
Beerwiser,Base case,60,mdbh,65.71158819099136,64.73989009996876,489622,299999.99999977153,Timed (Base case),"{'n_starts': 371, 'n_hops': 10, 'n_local_steps': 50}"
Beerwiser,Base case,120,grid,65.7115899862911,1.3853106999886222,3001,300000.0,Timed (Base case),{'max_calculation_time': 120}
Beerwiser,Base case,120,grid_capped,65.70490546625933,60.82798870000988,501501,300000.0,Timed (Base case),{'max_calculation_time': 120}
Beerwiser,Base case,120,slsqp,65.71158998401461,204.66013859998202,914806,299999.9999964623,Timed (Base case),{'n_starts': 44214}
Beerwiser,Base case,120,basin_hopping,65.71158991096567,130.51148029998876,528277,299999.99999999994,Timed (Base case),"{'n_hops': 40190, 'n_starts': 1}"
