case,scenario,limit_s,label,method,spend_all,seed,appreciation,seconds,evaluations,budget_spent,reported_dmo,settings
Beerwiser,Base case,15,grid,grid,False,0,65.71156453073533,15.000066599997808,231703,300000.0,Timed (Base case),{'max_calculation_time': 15}
Beerwiser,Base case,15,grid (capped),grid_capped,False,0,65.70506239888078,15.000050299997383,229756,300000.0,Timed (Base case),{'max_calculation_time': 15}
Beerwiser,Base case,15,slsqp,slsqp,False,1,65.71158998323418,15.00228220000281,120712,300000.0,Timed (Base case),"{'n_starts': 10000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,slsqp,slsqp,False,2,65.71158996349963,15.001103000002331,119225,300000.0,Timed (Base case),"{'n_starts': 10000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,slsqp,slsqp,False,3,65.71158998168258,15.001945299998624,127645,299999.99999950593,Timed (Base case),"{'n_starts': 10000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,slsqp,slsqp,False,4,65.71158996919428,15.000499699999637,119704,299999.999994052,Timed (Base case),"{'n_starts': 10000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,slsqp,slsqp,False,5,65.71158995663355,15.001135700003942,129071,300000.0,Timed (Base case),"{'n_starts': 10000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,slsqp (spend all),slsqp,True,1,65.71158998248195,15.002451000000292,131233,300000.0,Timed (Base case),"{'n_starts': 10000, 'spend_all': True, 'max_calculation_time': 15}"
Beerwiser,Base case,15,slsqp (spend all),slsqp,True,2,65.7115899635102,15.001755199999025,146015,300000.0,Timed (Base case),"{'n_starts': 10000, 'spend_all': True, 'max_calculation_time': 15}"
Beerwiser,Base case,15,slsqp (spend all),slsqp,True,3,65.71158998299174,15.001162900000054,144197,300000.0,Timed (Base case),"{'n_starts': 10000, 'spend_all': True, 'max_calculation_time': 15}"
Beerwiser,Base case,15,slsqp (spend all),slsqp,True,4,65.71158996991151,15.000588800001424,146572,300000.0,Timed (Base case),"{'n_starts': 10000, 'spend_all': True, 'max_calculation_time': 15}"
Beerwiser,Base case,15,slsqp (spend all),slsqp,True,5,65.7115899564578,15.002031600000919,145050,300000.0,Timed (Base case),"{'n_starts': 10000, 'spend_all': True, 'max_calculation_time': 15}"
Beerwiser,Base case,15,basin_hopping,basin_hopping,False,1,65.71159077082426,15.000265200003923,132909,299999.99999999994,Timed (Base case),"{'n_starts': 1, 'n_hops': 1000000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,basin_hopping,basin_hopping,False,2,65.71160245160857,15.000153900000441,132744,300000.0,Timed (Base case),"{'n_starts': 1, 'n_hops': 1000000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,basin_hopping,basin_hopping,False,3,65.7115901608597,15.001523800005089,133770,300000.0,Timed (Base case),"{'n_starts': 1, 'n_hops': 1000000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,basin_hopping,basin_hopping,False,4,65.71159008591562,15.000263599999016,131413,300000.0,Timed (Base case),"{'n_starts': 1, 'n_hops': 1000000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,basin_hopping,basin_hopping,False,5,65.71158983311778,15.000958500000706,133492,300000.00000000006,Timed (Base case),"{'n_starts': 1, 'n_hops': 1000000, 'max_calculation_time': 15}"
Beerwiser,Base case,15,basin_hopping (spend all),basin_hopping,True,1,65.71158994608014,15.00028580000071,135597,300000.0,Timed (Base case),"{'n_starts': 1, 'n_hops': 1000000, 'spend_all': True, 'max_calculation_time': 15}"
Beerwiser,Base case,15,basin_hopping (spend all),basin_hopping,True,2,65.71158997451869,15.000949900000705,136353,300000.0,Timed (Base case),"{'n_starts': 1, 'n_hops': 1000000, 'spend_all': True, 'max_calculation_time': 15}"
