variant,k,method,n,gap_median,gap_q1,gap_q3,gap_max,runtime_median_s
linear,2,basin_hopping,30,-1.583163822260758e-08,-2.983840019510353e-08,-9.116121191254933e-09,-3.6364014022183255e-09,0.11750830001255963
linear,3,basin_hopping,30,-4.9611251995429484e-08,-6.843617583740524e-08,-2.8577868960155683e-08,-2.0567114233926986e-08,0.2060483500099508
linear,4,basin_hopping,30,-1.770328879047156e-07,-2.421836775567954e-07,-8.922689076484858e-08,-2.8584821620825096e-08,0.27726600000460166
linear,6,basin_hopping,30,-3.533851469228466e-07,-4.1475044909589087e-07,-1.9431393738500446e-07,-1.1599522053984401e-07,0.5343919000006281
linear,9,basin_hopping,30,-4.1981095932897006e-07,-6.480908503192495e-07,-3.7860486301610763e-07,-2.3062237630711024e-07,2.0283597499947064
linear,12,basin_hopping,30,-7.627712648172746e-07,-1.6351089655586293e-06,-4.509418012332844e-07,-3.2028928842464666e-07,3.331785899994429
linear,15,basin_hopping,30,-1.1203997729580806e-06,-2.2071149388125377e-06,-4.5501043643980665e-07,-2.0076463158602564e-07,4.409270300006028
linear,2,genetic_algorithm,30,0.0,0.0,0.0,0.0,2.312064300000202
linear,3,genetic_algorithm,30,0.0,0.0,0.0,0.2902936841684607,2.6504140000179177
linear,4,genetic_algorithm,30,0.09448097008441891,0.0,0.5231327296763482,1.2621709508031387,2.9999548999912804
linear,6,genetic_algorithm,30,0.8638463836896975,0.48575812406339836,1.2044513689478151,2.3925782380916445,4.442712749980274
linear,9,genetic_algorithm,30,1.840606467551062,1.1801058013035473,2.677039622478233,5.436224118099304,9.129320199994254
linear,12,genetic_algorithm,29,2.8041133342389344,2.0231646586727834,3.556557974713897,6.100396845983909,14.095059499988565
linear,15,genetic_algorithm,30,3.4663961739831066,2.3700605902423533,5.2559053205196555,8.977408629707426,15.424477799970191
linear,2,grid,30,0.0,0.0,0.0,0.0,0.5744690499996068
linear,3,grid,30,0.0,0.0,0.0,0.0,24.904128750000382
linear,4,grid,30,0.0,0.0,0.0,0.0,22.049330549998558
linear,6,grid,30,0.0,0.0,0.0,0.0,77.33452314999886
linear,9,grid,25,0.0,0.0,0.0,0.0,129.93965280000702
linear,12,grid,10,0.0,0.0,0.0,0.0,513.6311841499992
linear,2,slsqp,30,-2.9081263619445963e-08,-3.958176719720541e-08,-1.601094368197664e-08,-7.357243703154381e-09,0.5218832499958808
linear,3,slsqp,30,-5.819734383294417e-08,-9.94652289421083e-08,-3.8152986547856926e-08,-2.461412407228636e-08,0.790151050008717
linear,4,slsqp,30,-1.9773578685544635e-07,-2.6820762144552646e-07,-1.1762785945279575e-07,-7.395657064535044e-08,1.0808089000056498
linear,6,slsqp,30,-3.904887790895373e-07,-4.3424956075455157e-07,-3.2209495159918333e-07,-1.9217951319205895e-07,2.174942599987844
linear,9,slsqp,30,-4.909480324499782e-07,-9.022796589874815e-07,-4.593259177454456e-07,-3.696569450539755e-07,6.488649750011973
linear,12,slsqp,30,-6.911737955306307e-07,-1.93449346497232e-06,-4.85316665077562e-07,-4.0751757524049026e-07,13.952730100005283
linear,15,slsqp,30,-7.447282683870071e-07,-3.200874090225625e-06,-4.568771743151956e-07,-2.716905100896838e-07,17.77076569997007
sinusoidal,2,basin_hopping,30,-5.185540885577211e-10,-1.1733121141332958e-09,-1.4810552784183528e-10,1.9105073079117574e-10,0.14780144998803735
sinusoidal,3,basin_hopping,30,-8.299778642140154e-10,-1.4899761424658209e-09,-1.412061578776047e-10,3.321076746942708e-11,0.3292331000266131
sinusoidal,4,basin_hopping,30,-4.097522321444558e-09,-1.3840470103332336e-08,-2.176907543116613e-09,2.8990143619012088e-11,0.7262646500312258
sinusoidal,6,basin_hopping,30,-6.558664722433605e-09,-2.3380316349630448e-08,-3.157246908358502e-09,-1.000444171950221e-11,1.4431239999830723
