comparison,k,n_pairs,n_dropped_censored,median_gap_diff,statistic,p_raw,p_holm,significant_05
grid vs slsqp,2,60,0,1.6822774284719344e-08,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
grid vs slsqp,3,60,0,6.7436019435263e-08,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
grid vs slsqp,4,60,0,2.273266446195521e-07,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
grid vs slsqp,6,60,0,4.6191949110152564e-07,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
grid vs slsqp,9,60,0,1.821465218654339e-06,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
grid vs slsqp,12,60,0,2.3672679745345704e-06,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
grid vs slsqp,15,0,60,,,1.0,1.0,False
basin_hopping vs slsqp,2,60,0,4.3289105633448344e-10,441.0,0.000804327279578837,0.002412981838736511,True
basin_hopping vs slsqp,3,60,0,1.8773960164253367e-09,333.0,1.8318937135701698e-05,0.0001282325599499119,True
basin_hopping vs slsqp,4,60,0,5.511978429240116e-09,437.0,0.00043342784028916226,0.001733711361156649,True
basin_hopping vs slsqp,6,60,0,1.0735860200838943e-08,392.0,0.00011806075360874308,0.0005903037680437154,True
basin_hopping vs slsqp,9,60,0,2.346074978731849e-08,375.0,7.030074867900359e-05,0.0004218044920740215,True
basin_hopping vs slsqp,12,60,0,1.3048783387148433e-08,526.0,0.0107382381164031,0.0214764762328062,True
basin_hopping vs slsqp,15,60,0,3.0460817868060985e-08,568.0,0.016724527882714557,0.0214764762328062,True
genetic_algorithm vs slsqp,2,60,0,7.707726012995408e-09,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
genetic_algorithm vs slsqp,3,60,0,3.469139642220398e-08,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
genetic_algorithm vs slsqp,4,60,0,2.142787579373362e-06,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
genetic_algorithm vs slsqp,6,60,0,0.237946192934551,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
genetic_algorithm vs slsqp,9,60,0,0.6291282971388767,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
genetic_algorithm vs slsqp,12,60,0,1.1057417995773378,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
genetic_algorithm vs slsqp,15,60,0,1.5871609896579812,0.0,1.6295557943119345e-11,1.1406890560183541e-10,True
