variant,k,method,n,recovered,censored,recovery,ci_low,ci_high
linear,2,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
linear,3,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
linear,4,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
linear,6,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
linear,9,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
linear,12,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
linear,15,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
linear,2,genetic_algorithm,90,90,0,1.0,0.9590643744356734,1.0
linear,3,genetic_algorithm,90,87,0,0.9666666666666667,0.9065271396961013,0.9885996097771937
linear,4,genetic_algorithm,90,45,0,0.5,0.3988372282354734,0.6011627717645266
linear,6,genetic_algorithm,90,6,0,0.06666666666666667,0.030909927745827924,0.13790094774325526
linear,9,genetic_algorithm,90,0,0,0.0,0.0,0.04093562556432678
linear,12,genetic_algorithm,90,0,1,0.0,0.0,0.04093562556432678
linear,15,genetic_algorithm,90,0,0,0.0,0.0,0.04093562556432678
linear,2,grid,90,90,0,1.0,0.9590643744356734,1.0
linear,3,grid,90,90,0,1.0,0.9590643744356734,1.0
linear,4,grid,90,90,0,1.0,0.9590643744356734,1.0
linear,6,grid,90,90,0,1.0,0.9590643744356734,1.0
linear,9,grid,90,90,15,1.0,0.9590643744356734,1.0
linear,12,grid,90,90,62,1.0,0.9590643744356734,1.0
linear,15,grid,90,0,90,0.0,0.0,0.04093562556432678
linear,2,slsqp,90,90,0,1.0,0.9590643744356734,1.0
linear,3,slsqp,90,90,0,1.0,0.9590643744356734,1.0
linear,4,slsqp,90,90,0,1.0,0.9590643744356734,1.0
linear,6,slsqp,90,90,0,1.0,0.9590643744356734,1.0
linear,9,slsqp,90,90,0,1.0,0.9590643744356734,1.0
linear,12,slsqp,90,90,0,1.0,0.9590643744356734,1.0
linear,15,slsqp,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,2,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,3,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,4,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,6,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,9,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,12,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,15,basin_hopping,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,2,genetic_algorithm,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,3,genetic_algorithm,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,4,genetic_algorithm,90,83,0,0.9222222222222223,0.8480613981740798,0.9618151846827111
sinusoidal,6,genetic_algorithm,90,57,0,0.6333333333333333,0.5302230476398118,0.725527452209701
sinusoidal,9,genetic_algorithm,90,17,0,0.18888888888888888,0.12141259844132833,0.28183623524314166
sinusoidal,12,genetic_algorithm,90,4,0,0.044444444444444446,0.01741724185270873,0.10876855032812233
sinusoidal,15,genetic_algorithm,90,0,0,0.0,0.0,0.04093562556432678
sinusoidal,2,grid,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,3,grid,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,4,grid,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,6,grid,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,9,grid,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,12,grid,90,86,59,0.9555555555555556,0.8912314496718777,0.9825827581472913
sinusoidal,15,grid,90,0,90,0.0,0.0,0.04093562556432678
sinusoidal,2,slsqp,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,3,slsqp,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,4,slsqp,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,6,slsqp,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,9,slsqp,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,12,slsqp,90,90,0,1.0,0.9590643744356734,1.0
sinusoidal,15,slsqp,90,90,0,1.0,0.9590643744356734,1.0
