variant,k,n,proved_optimal,max_abs_gap,median_gap,median_time_s,median_nodes,max_fidelity
linear,2,90,90,0.0,0.0,0.0010911999852396548,1.0,2.842170943040401e-14
linear,3,90,90,0.0,0.0,0.0010958999628201127,1.0,1.4210854715202004e-14
linear,4,90,90,0.0,0.0,0.00118755002040416,1.0,2.842170943040401e-14
linear,6,90,90,0.0,0.0,0.0013650499749928713,1.0,2.842170943040401e-14
linear,9,90,90,0.0,0.0,0.0014590999926440418,1.0,2.842170943040401e-14
linear,12,90,90,0.0,0.0,0.0012786000152118504,1.0,2.842170943040401e-14
linear,15,90,90,0.0,0.0,0.0013021500199101865,1.0,2.842170943040401e-14
sinusoidal,2,90,90,3.8239235777837166e-07,2.8760780423908727e-09,0.023056249949149787,1.0,9.391823567739266e-07
sinusoidal,3,90,90,6.70950868197906e-07,2.721442626807402e-09,0.03180644992971793,1.0,9.818228932090278e-07
sinusoidal,4,90,90,5.563036040712177e-07,2.497841933291056e-09,0.03617094992659986,1.0,9.885665690489986e-07
sinusoidal,6,90,90,5.240269160822209e-07,9.548799084768689e-09,0.045927600003778934,1.0,9.928942006354191e-07
sinusoidal,9,90,90,5.704477104018224e-07,3.9944751506482135e-08,0.0833163500064984,1.0,9.90574946513334e-07
sinusoidal,12,90,90,6.68601217057585e-07,6.742475022747385e-09,0.10472489998210222,1.0,9.896800605702083e-07
sinusoidal,15,90,90,7.029401558611426e-07,3.542403703704622e-08,0.1191347999847494,1.0,9.870903028286193e-07
