tau,method,k,reached,n,fraction,wilson_low,wilson_high,median_evals
1,basin_hopping,2,60,60,1.0,0.93982814785791,0.9999999999999998,4.0
1,basin_hopping,3,60,60,1.0,0.93982814785791,0.9999999999999998,5.0
1,basin_hopping,4,60,60,1.0,0.93982814785791,0.9999999999999998,6.0
1,basin_hopping,6,60,60,1.0,0.93982814785791,0.9999999999999998,8.0
1,genetic_algorithm,2,60,60,1.0,0.93982814785791,0.9999999999999998,164.0
1,genetic_algorithm,3,60,60,1.0,0.93982814785791,0.9999999999999998,230.5
1,genetic_algorithm,4,57,60,0.95,0.8629948352365147,0.9828504978356043,663.0
1,genetic_algorithm,6,51,60,0.85,0.7388541093022145,0.9190255941983225,1386.0
1,grid,2,60,60,1.0,0.93982814785791,0.9999999999999998,2.0
1,grid,3,60,60,1.0,0.93982814785791,0.9999999999999998,1.0
1,grid,4,60,60,1.0,0.93982814785791,0.9999999999999998,2.0
1,grid,6,60,60,1.0,0.93982814785791,0.9999999999999998,3.5
1,grid_capped,2,60,60,1.0,0.93982814785791,0.9999999999999998,30658.0
1,grid_capped,3,60,60,1.0,0.93982814785791,0.9999999999999998,51.0
1,grid_capped,4,60,60,1.0,0.93982814785791,0.9999999999999998,337.5
1,grid_capped,6,60,60,1.0,0.93982814785791,0.9999999999999998,286.0
1,mdbh,2,60,60,1.0,0.93982814785791,0.9999999999999998,44.5
1,mdbh,3,60,60,1.0,0.93982814785791,0.9999999999999998,141.0
1,mdbh,4,60,60,1.0,0.93982814785791,0.9999999999999998,183.5
1,mdbh,6,60,60,1.0,0.93982814785791,0.9999999999999998,373.0
1,slsqp,2,60,60,1.0,0.93982814785791,0.9999999999999998,4.0
1,slsqp,3,60,60,1.0,0.93982814785791,0.9999999999999998,5.0
1,slsqp,4,60,60,1.0,0.93982814785791,0.9999999999999998,6.0
1,slsqp,6,60,60,1.0,0.93982814785791,0.9999999999999998,8.0
0.1,basin_hopping,2,60,60,1.0,0.93982814785791,0.9999999999999998,4.0
0.1,basin_hopping,3,60,60,1.0,0.93982814785791,0.9999999999999998,5.0
0.1,basin_hopping,4,60,60,1.0,0.93982814785791,0.9999999999999998,6.0
0.1,basin_hopping,6,60,60,1.0,0.93982814785791,0.9999999999999998,8.0
0.1,genetic_algorithm,2,60,60,1.0,0.93982814785791,0.9999999999999998,460.0
0.1,genetic_algorithm,3,60,60,1.0,0.93982814785791,0.9999999999999998,1008.0
0.1,genetic_algorithm,4,39,60,0.65,0.5236261884175486,0.7583222559398244,1201.0
0.1,genetic_algorithm,6,18,60,0.3,0.19898166138769108,0.42508707946914487,1221.0
0.1,grid,2,60,60,1.0,0.93982814785791,0.9999999999999998,2.0
0.1,grid,3,60,60,1.0,0.93982814785791,0.9999999999999998,2.0
0.1,grid,4,60,60,1.0,0.93982814785791,0.9999999999999998,2.0
0.1,grid,6,60,60,1.0,0.93982814785791,0.9999999999999998,6.0
0.1,grid_capped,2,60,60,1.0,0.93982814785791,0.9999999999999998,31571.0
0.1,grid_capped,3,60,60,1.0,0.93982814785791,0.9999999999999998,1220.5
0.1,grid_capped,4,60,60,1.0,0.93982814785791,0.9999999999999998,3276.0
0.1,grid_capped,6,60,60,1.0,0.93982814785791,0.9999999999999998,1987.0
0.1,mdbh,2,60,60,1.0,0.93982814785791,0.9999999999999998,143.5
0.1,mdbh,3,60,60,1.0,0.93982814785791,0.9999999999999998,334.0
0.1,mdbh,4,60,60,1.0,0.93982814785791,0.9999999999999998,834.0
0.1,mdbh,6,60,60,1.0,0.93982814785791,0.9999999999999998,1267.5
0.1,slsqp,2,60,60,1.0,0.93982814785791,0.9999999999999998,4.0
0.1,slsqp,3,60,60,1.0,0.93982814785791,0.9999999999999998,5.0
0.1,slsqp,4,60,60,1.0,0.93982814785791,0.9999999999999998,6.0
0.1,slsqp,6,60,60,1.0,0.93982814785791,0.9999999999999998,8.0
0.01,basin_hopping,2,60,60,1.0,0.93982814785791,0.9999999999999998,4.0
0.01,basin_hopping,3,60,60,1.0,0.93982814785791,0.9999999999999998,5.0
0.01,basin_hopping,4,60,60,1.0,0.93982814785791,0.9999999999999998,6.0
0.01,basin_hopping,6,60,60,1.0,0.93982814785791,0.9999999999999998,8.0
0.01,genetic_algorithm,2,60,60,1.0,0.93982814785791,0.9999999999999998,564.0
0.01,genetic_algorithm,3,60,60,1.0,0.93982814785791,0.9999999999999998,1103.0
0.01,genetic_algorithm,4,37,60,0.6166666666666667,0.49017595824099924,0.7291172762591798,1949.0
0.01,genetic_algorithm,6,12,60,0.2,0.11828505322897494,0.317818058056279,1505.0
0.01,grid,2,60,60,1.0,0.93982814785791,0.9999999999999998,2.0
0.01,grid,3,60,60,1.0,0.93982814785791,0.9999999999999998,2.0
0.01,grid,4,60,60,1.0,0.93982814785791,0.9999999999999998,3.0
0.01,grid,6,58,60,0.9666666666666667,0.886362257256914,0.9908106807438021,6.0
0.01,grid_capped,2,60,60,1.0,0.93982814785791,0.9999999999999998,31625.0
0.01,grid_capped,3,60,60,1.0,0.93982814785791,0.9999999999999998,2625.0
0.01,grid_capped,4,60,60,1.0,0.93982814785791,0.9999999999999998,3276.0
0.01,grid_capped,6,47,60,0.7833333333333333,0.6637997242680521,0.868769559518097,3003.0
0.01,mdbh,2,60,60,1.0,0.93982814785791,0.9999999999999998,240.5
0.01,mdbh,3,60,60,1.0,0.93982814785791,0.9999999999999998,604.0
0.01,mdbh,4,60,60,1.0,0.93982814785791,0.9999999999999998,1368.5
0.01,mdbh,6,58,60,0.9666666666666667,0.886362257256914,0.9908106807438021,1756.0
0.01,slsqp,2,60,60,1.0,0.93982814785791,0.9999999999999998,4.0
0.01,slsqp,3,60,60,1.0,0.93982814785791,0.9999999999999998,5.0
0.01,slsqp,4,60,60,1.0,0.93982814785791,0.9999999999999998,6.0
0.01,slsqp,6,60,60,1.0,0.93982814785791,0.9999999999999998,8.0
