case_name,family,k,method,n_points,enumeration_s,enumeration_cpu_s,suspect_suspend,solve_s,enumeration_share
Beerwiser,packaged,2,grid,3001,0.7637541000149213,0.734375,False,0.9894426000537351,0.7719033928531508
Beerwiser,packaged,2,grid_capped,45451,0.029405799985397607,0.03125,False,4.0313086999813095,0.007294355797047729
Refugee,packaged,5,grid,58905,0.07632390002254397,0.078125,False,21.134683099982794,0.0036113103594444763
Refugee,packaged,5,grid_capped,53130,0.047169300029054284,0.046875,False,18.946464400039986,0.00248960961966892
IZZ,packaged,9,grid,43758,1.7629729000036605,1.6875,False,19.209033899998758,0.09177832207395784
IZZ,packaged,9,grid_capped,24310,0.05080550001002848,0.046875,False,9.901598200027365,0.00513104036173555
Study_linear_k02_s0,synthetic,2,grid,779,0.08180220000213012,0.09375,False,0.36478770000394434,0.2242460477731174
Study_linear_k02_s0,synthetic,2,grid_capped,31626,0.14258879999397323,0.125,False,6.1928776999993715,0.023024643292081756
Study_linear_k03_s0,synthetic,3,grid,27573,0.4866764000034891,0.46875,False,6.209953900019173,0.07837037244382547
Study_linear_k03_s0,synthetic,3,grid_capped,23426,0.021517699991818517,0.0,False,4.284276199992746,0.005022481975334585
Study_linear_k04_s0,synthetic,4,grid,23426,0.06488070002524182,0.0625,False,4.591244299983373,0.014131397892609806
Study_linear_k04_s0,synthetic,4,grid_capped,23751,0.02398280001943931,0.015625,False,4.5956557000172324,0.005218580673776188
Study_linear_k06_s0,synthetic,6,grid,53130,0.08782910002628341,0.09375,False,6.766564399993513,0.012979866123252684
Study_linear_k06_s0,synthetic,6,grid_capped,8008,0.01287360000424087,0.015625,False,1.4016295000328682,0.009184738195035838
Study_linear_k09_s0,synthetic,9,grid,43758,1.563922100001946,1.53125,False,,
Study_linear_k09_s0,synthetic,9,grid_capped,24310,0.053110699984245,0.046875,False,,
Study_linear_k12_s0,synthetic,12,grid,4368,451.54148840002017,428.953125,False,,
Study_linear_k12_s0,synthetic,12,grid_capped,6188,0.0184667999856174,0.015625,False,,
