method,k,config_label,median_evals,median_gap,median_seconds,recovered,n
basin_hopping,2,"basin_hopping@n_hops=1,n_starts=1",12.0,0.0,0.009278150013415143,1.0,60
basin_hopping,2,"basin_hopping@n_hops=5,n_starts=1",36.0,-2.574438440205995e-10,0.021008599986089393,1.0,60
basin_hopping,2,"basin_hopping@n_hops=25,n_starts=1",141.0,-9.185754379359423e-10,0.08580085000721738,1.0,60
basin_hopping,3,"basin_hopping@n_hops=1,n_starts=1",16.0,-2.3945290195115376e-12,0.00943114998517558,1.0,60
basin_hopping,3,"basin_hopping@n_hops=5,n_starts=1",48.0,-2.1376678205342614e-09,0.021903949993429706,1.0,60
basin_hopping,3,"basin_hopping@n_hops=25,n_starts=1",200.0,-4.226407668284082e-09,0.08908859998336993,1.0,60
basin_hopping,4,"basin_hopping@n_hops=1,n_starts=1",20.0,-9.626432984077837e-11,0.008635600010165945,1.0,60
basin_hopping,4,"basin_hopping@n_hops=5,n_starts=1",60.0,-8.782258476003335e-09,0.02148105000378564,1.0,60
basin_hopping,4,"basin_hopping@n_hops=25,n_starts=1",255.0,-2.671654186769956e-08,0.08299530000658706,1.0,60
basin_hopping,6,"basin_hopping@n_hops=1,n_starts=1",28.0,-3.0887292723491555e-09,0.018414299964206293,1.0,60
basin_hopping,6,"basin_hopping@n_hops=5,n_starts=1",84.5,-2.580537028507024e-08,0.04880795002100058,1.0,60
basin_hopping,6,"basin_hopping@n_hops=25,n_starts=1",369.5,-1.0831062979832495e-07,0.1973664500110317,1.0,60
genetic_algorithm,2,"genetic_algorithm@n_generations=15,population_size=50",800.0,0.0,0.20350689999759197,0.8666666666666667,60
genetic_algorithm,2,"genetic_algorithm@n_generations=60,population_size=50",3050.0,0.0,0.7312668999948073,1.0,60
genetic_algorithm,2,"genetic_algorithm@n_generations=240,population_size=50",12050.0,0.0,3.018737799997325,1.0,60
genetic_algorithm,3,"genetic_algorithm@n_generations=15,population_size=50",800.0,0.2987949701987631,0.14168735001294408,0.38333333333333336,60
genetic_algorithm,3,"genetic_algorithm@n_generations=60,population_size=50",3050.0,0.0,0.5151712500228314,1.0,60
genetic_algorithm,3,"genetic_algorithm@n_generations=240,population_size=50",12050.0,0.0,2.4391926499811234,1.0,60
genetic_algorithm,4,"genetic_algorithm@n_generations=15,population_size=50",800.0,0.8400994246800622,0.0904057500010822,0.18333333333333332,60
genetic_algorithm,4,"genetic_algorithm@n_generations=60,population_size=50",3050.0,2.0655992969409454e-06,0.3620556500100065,0.65,60
genetic_algorithm,4,"genetic_algorithm@n_generations=240,population_size=50",12050.0,0.0,1.4435317000024952,1.0,60
genetic_algorithm,6,"genetic_algorithm@n_generations=15,population_size=50",800.0,1.796964464262885,0.15204494996578433,0.016666666666666666,60
genetic_algorithm,6,"genetic_algorithm@n_generations=60,population_size=50",3050.0,0.30549700535416235,0.5713879500108305,0.3,60
genetic_algorithm,6,"genetic_algorithm@n_generations=240,population_size=50",12050.0,1.4196643860486802e-10,2.3266923999763094,1.0,60
grid,2,grid@max_combinations=1000,389.0,0.0,0.10233014999539591,1.0,60
grid,2,grid@max_combinations=6000,779.0,0.0,0.2911399999866262,1.0,60
grid,2,grid@max_combinations=60000,779.0,0.0,0.29643814999144524,1.0,60
grid,2,grid@max_combinations=600000,779.0,0.0,0.29394285001035314,1.0,60
grid,3,grid@max_combinations=1000,861.0,0.0,0.09184900001855567,1.0,60
grid,3,grid@max_combinations=6000,5151.0,0.0,0.6687744499940891,1.0,60
grid,3,grid@max_combinations=60000,27573.0,0.0,4.068433649998042,1.0,60
grid,3,grid@max_combinations=600000,439836.0,0.0,107.69112994999159,1.0,60
grid,4,grid@max_combinations=1000,286.0,0.0,0.02451170003041625,1.0,60
grid,4,grid@max_combinations=6000,3276.0,0.0,0.2624341500340961,1.0,60
grid,4,grid@max_combinations=60000,23426.0,0.0,1.9259460500034038,1.0,60
grid,4,grid@max_combinations=600000,298508.0,0.0,26.03242139998474,1.0,60
grid,6,grid@max_combinations=1000,252.0,0.0,0.034662350022699684,1.0,60
grid,6,grid@max_combinations=6000,3003.0,0.0,0.372638700006064,1.0,60
grid,6,grid@max_combinations=60000,53130.0,0.0,6.111013449990423,1.0,60
grid,6,grid@max_combinations=600000,142506.0,0.0,30.401250099996105,1.0,60
grid_capped,2,grid_capped@max_combinations=1000,861.0,0.0,0.12580404999607708,1.0,60
grid_capped,2,grid_capped@max_combinations=6000,5151.0,0.0,0.8218778499867767,1.0,60
grid_capped,2,grid_capped@max_combinations=60000,31626.0,0.0,5.184791899999254,1.0,60
grid_capped,2,grid_capped@max_combinations=600000,501501.0,0.0,82.74012380000204,1.0,60
grid_capped,3,grid_capped@max_combinations=1000,286.0,0.0,0.03341985002043657,1.0,60
grid_capped,3,grid_capped@max_combinations=6000,3276.0,0.0,0.36952685001597274,1.0,60
grid_capped,3,grid_capped@max_combinations=60000,23426.0,0.0,2.857517149997875,1.0,60
grid_capped,3,grid_capped@max_combinations=600000,341376.0,0.0,43.72946215000411,1.0,60
grid_capped,4,grid_capped@max_combinations=1000,495.0,0.0,0.042650399991543964,1.0,60
grid_capped,4,grid_capped@max_combinations=6000,1001.0,0.0,0.08301299999584444,1.0,60
grid_capped,4,grid_capped@max_combinations=60000,23751.0,0.0,1.8724174499802757,1.0,60
grid_capped,4,grid_capped@max_combinations=600000,316251.0,0.0,25.094636949972482,1.0,60
grid_capped,6,grid_capped@max_combinations=1000,462.0,0.0,0.06093880001571961,1.0,60
