method,k,median_share,n
basin_hopping,2,0.17027401984444868,180
basin_hopping,3,0.17771854967955653,180
basin_hopping,4,0.1341339257344732,180
basin_hopping,6,0.09881784577304764,180
genetic_algorithm,2,0.0,180
genetic_algorithm,3,0.0,180
genetic_algorithm,4,0.0,180
genetic_algorithm,6,0.0,180
grid,2,0.0,240
grid,3,0.0,240
grid,4,0.0,240
grid,6,0.0,240
grid_capped,2,0.0,240
grid_capped,3,0.0,240
grid_capped,4,0.0,240
grid_capped,6,0.0,240
mdbh,2,0.0,180
mdbh,3,0.0,180
mdbh,4,0.0,180
mdbh,6,0.0,180
slsqp,2,0.11438678313607215,240
slsqp,3,0.05260240416159767,240
slsqp,4,0.047846738351387585,240
slsqp,6,0.02471755547205401,240
