tau,method,n_pairs,median_ratio,statistic,p_raw,p_holm
1,basin_hopping,240,1.0,0.0,,0.0
1,genetic_algorithm,228,82.5,45.0,6.687481241022025e-39,1.337496248204405e-38
1,grid,240,0.5,3813.0,7.160014472187394e-21,7.160014472187394e-21
1,grid_capped,240,339.9,0.0,3.9603837591148885e-41,1.5841535036459554e-40
1,mdbh,240,38.0,0.0,3.9747421854931076e-41,1.5841535036459554e-40
0.1,basin_hopping,240,1.0,0.0,,0.0
0.1,genetic_algorithm,177,151.4,0.0,8.472931705388358e-31,1.6945863410776716e-30
0.1,grid,240,0.5,11236.0,0.002639112264449283,0.002639112264449283
0.1,grid_capped,240,546.0,0.0,3.8457091792497547e-41,1.5382836716999019e-40
0.1,mdbh,240,79.89204545454545,0.0,3.9914149070971115e-41,1.5382836716999019e-40
0.01,basin_hopping,240,1.0,0.0,,0.0
0.01,genetic_algorithm,169,172.0,0.0,1.738948660015641e-29,3.477897320031282e-29
0.01,grid,238,0.5,12803.0,0.21744584787460164,0.21744584787460164
0.01,grid_capped,227,1001.0,0.0,5.018066557430411e-39,1.5054199672291233e-38
0.01,mdbh,238,122.15,0.0,8.495791337234421e-41,3.3983165348937683e-40
