comparison,k,n_pairs,median_gap_diff,p_raw,p_holm,significant_05
mdbh vs slsqp,2,60,1.6319404494424816e-08,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs slsqp,3,60,1.0196391286854123e-07,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs slsqp,4,60,3.3740864324727227e-07,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs slsqp,6,60,7.054681096008153e-05,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs slsqp,9,60,0.0003215516635890481,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs slsqp,12,60,0.0007022444469342304,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs slsqp,15,60,0.0015657116415397354,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs basin_hopping,2,60,1.1677776967644604e-08,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs basin_hopping,3,60,7.062087803433315e-08,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs basin_hopping,4,60,3.181228152016047e-07,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs basin_hopping,6,60,7.054838285114329e-05,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs basin_hopping,9,60,0.0003215363903876778,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs basin_hopping,12,60,0.0007021202372499147,1.6295557943119345e-11,1.1406890560183541e-10,True
mdbh vs basin_hopping,15,60,0.0015654772465723,1.6295557943119345e-11,1.1406890560183541e-10,True
