variant,k,n,recovered,recovery,ci_low,ci_high
linear,2,90,90,1.0,0.9590643744356734,1.0
linear,3,90,90,1.0,0.9590643744356734,1.0
linear,4,90,90,1.0,0.9590643744356734,1.0
linear,6,90,90,1.0,0.9590643744356734,1.0
linear,9,90,90,1.0,0.9590643744356734,1.0
linear,12,90,87,0.9666666666666667,0.9065271396961013,0.9885996097771937
linear,15,90,90,1.0,0.9590643744356734,1.0
sinusoidal,2,90,90,1.0,0.9590643744356734,1.0
sinusoidal,3,90,90,1.0,0.9590643744356734,1.0
sinusoidal,4,90,90,1.0,0.9590643744356734,1.0
sinusoidal,6,90,90,1.0,0.9590643744356734,1.0
sinusoidal,9,90,90,1.0,0.9590643744356734,1.0
sinusoidal,12,90,85,0.9444444444444444,0.8764626377820048,0.976039028383038
sinusoidal,15,90,89,0.9888888888888889,0.9397159168824657,0.9980359158990818
