case_name,regime,variant,k,case_seed,scenario,method,method_seed,f_found,f_oracle,gap,recovered,oracle_verified,allocation,spend_fraction,n_function_evals,wall_time_s,censored,timestamp,censor_reason
Study_linear_k02_s0,convex,linear,2,0,Scenario 01,basin_hopping,0,98.92106043857845,98.92106043380616,-4.772289230459137e-09,True,True,"[99.99999997832703, 2.1672974521457398e-08]",1.0,150.0,0.19516559998737648,False,2026-07-22T13:55:18+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 02,basin_hopping,0,99.46053022261921,99.4605302169031,-5.716117357223993e-09,True,True,"[99.99999997404056, 2.595944014630604e-08]",1.0,150.0,0.1149413000093773,False,2026-07-22T13:55:18+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 02,slsqp,0,99.46053022784423,99.4605302169031,-1.0941135997200035e-08,True,True,"[99.99999995031149, 4.968850883830999e-08]",1.0,600.0,0.5172960000054445,False,2026-07-22T13:55:18+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 01,slsqp,0,98.92106044473712,98.92106043380616,-1.0930961025223951e-08,True,True,"[99.99999995035773, 4.964226804938028e-08]",1.0,600.0,0.5298970000003465,False,2026-07-22T13:55:18+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 01,grid,0,98.92106043380616,98.92106043380616,0.0,True,True,"[100.0, 0.0]",1.0,,0.5833657000039238,False,2026-07-22T13:55:18+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 02,grid,0,99.4605302169031,99.4605302169031,0.0,True,True,"[100.0, 0.0]",1.0,,0.588865000026999,False,2026-07-22T13:55:18+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 03,basin_hopping,0,100.0,100.0,0.0,True,True,"[99.99999998476581, 1.5234191683599188e-08]",1.0,150.0,0.1204165999952238,False,2026-07-22T13:55:18+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 03,slsqp,0,100.0,100.0,0.0,True,True,"[99.99999998476581, 1.5234191683599188e-08]",1.0,600.0,0.45428679999895394,False,2026-07-22T13:55:18+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 03,grid,0,100.0,100.0,0.0,True,True,"[100.0, 0.0]",1.0,,0.5165393000061158,False,2026-07-22T13:55:18+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 01,basin_hopping,1,97.84778668035939,97.84778667214474,-8.214655622396094e-09,True,True,"[99.9999999773594, 2.2640606051486032e-08]",1.0,141.0,0.11181100000976585,False,2026-07-22T13:55:19+00:00,
